,Community Area,Date,ASSAULT_Arrest,BATTERY_Arrest,CRIMINAL DAMAGE_Arrest,THEFT_Arrest,ASSAULT_Count,BATTERY_Count,CRIMINAL DAMAGE_Count,THEFT_Count,ASSAULT_Domestic,BATTERY_Domestic,CRIMINAL DAMAGE_Domestic,THEFT_Domestic
66,1.0,2021-07-31,2,4,2,2,26,55,36,52,7,30,1,1
67,1.0,2021-08-31,1,7,1,7,28,69,42,97,3,34,1,7
68,1.0,2021-09-30,4,7,1,1,30,52,31,93,6,23,4,4
69,1.0,2021-10-31,1,10,1,9,18,64,30,99,2,31,2,2
70,1.0,2021-11-30,2,10,1,7,21,45,46,105,1,21,3,5
71,1.0,2021-12-31,2,12,0,9,24,57,49,76,5,30,1,1
72,1.0,2022-01-31,0,10,0,6,11,53,32,95,2,27,2,4
73,1.0,2022-02-28,3,12,3,2,16,55,28,69,4,29,5,6
74,1.0,2022-03-31,1,9,3,2,15,50,32,66,4,17,4,3
75,1.0,2022-04-30,5,7,0,13,23,51,30,87,5,24,5,4
76,1.0,2022-05-31,3,14,0,6,33,69,45,114,12,32,4,1
77,1.0,2022-06-30,5,12,2,19,29,73,31,139,6,38,2,4
78,1.0,2022-07-31,5,16,2,15,41,87,28,116,9,44,4,3
79,1.0,2022-08-31,1,7,1,16,30,55,33,146,7,28,3,6
80,1.0,2022-09-30,2,5,3,8,28,65,38,145,5,31,2,3
81,1.0,2022-10-31,3,12,2,5,33,84,37,122,10,43,0,4
82,1.0,2022-11-30,0,12,0,5,23,56,36,78,1,25,2,3
83,1.0,2022-12-31,7,13,0,5,28,55,38,80,7,31,2,1
84,1.0,2023-01-31,4,14,1,15,23,54,39,92,5,18,4,1
85,1.0,2023-02-28,1,8,0,11,23,61,36,77,4,31,1,2
86,1.0,2023-03-31,5,7,2,9,32,59,35,105,4,20,2,1
87,1.0,2023-04-30,5,13,3,10,28,60,37,110,9,19,5,6
88,1.0,2023-05-31,3,12,3,12,24,83,46,116,6,44,1,2
89,1.0,2023-06-30,6,15,2,20,37,64,46,142,7,25,8,3
90,1.0,2023-07-31,6,11,3,3,42,72,42,93,8,31,3,4
91,1.0,2023-08-31,5,16,1,10,28,83,47,107,4,40,4,5
92,1.0,2023-09-30,3,18,1,16,30,78,30,104,7,30,3,5
93,1.0,2023-10-31,3,14,4,8,26,68,55,104,7,30,1,3
94,1.0,2023-11-30,3,12,0,11,19,65,69,133,4,32,8,2
95,1.0,2023-12-31,5,23,8,10,26,71,53,107,5,33,1,0
96,1.0,2024-01-31,4,15,4,27,35,66,57,131,5,27,8,1
97,1.0,2024-02-29,2,16,1,12,32,70,43,107,7,31,2,2
98,1.0,2024-03-31,5,8,3,10,25,61,55,111,7,27,2,3
99,1.0,2024-04-30,1,13,2,11,28,62,40,125,5,30,1,4
100,1.0,2024-05-31,4,15,0,15,23,83,46,134,7,42,3,3
101,1.0,2024-06-30,2,17,0,13,25,62,30,114,6,33,2,6
102,1.0,2024-07-31,5,17,4,11,32,67,41,122,7,30,3,5
103,1.0,2024-08-31,6,11,6,13,30,50,37,111,6,22,2,4
104,1.0,2024-09-30,8,13,3,14,35,72,42,94,9,32,2,6
105,1.0,2024-10-31,5,11,4,15,37,68,36,87,7,27,0,1
106,1.0,2024-11-30,7,17,2,7,32,66,31,79,8,22,2,0
107,1.0,2024-12-31,3,12,2,12,22,57,28,67,1,28,1,1
108,1.0,2025-01-31,4,18,0,23,20,62,28,89,5,34,3,0
109,1.0,2025-02-28,9,15,2,17,28,59,28,80,6,21,2,3
110,1.0,2025-03-31,8,15,2,16,27,53,36,92,6,23,1,2
111,1.0,2025-04-30,2,14,3,8,27,59,26,75,6,32,0,1
112,1.0,2025-05-31,5,17,2,20,33,62,26,87,7,28,2,5
113,1.0,2025-06-30,3,14,4,17,19,67,33,111,5,29,0,4
114,1.0,2025-07-31,3,20,2,11,24,71,27,92,6,35,3,5
115,1.0,2025-08-31,5,13,1,16,28,60,39,106,9,28,4,4
116,1.0,2025-09-30,5,13,2,16,34,75,26,92,8,40,5,6
117,1.0,2025-10-31,4,13,2,7,29,49,24,75,4,18,1,1
118,1.0,2025-11-30,6,14,1,8,21,65,25,68,7,31,1,1
119,1.0,2025-12-31,1,10,1,14,19,55,21,81,6,29,3,2
120,1.0,2026-01-31,4,10,3,17,14,66,21,72,2,31,0,3
121,1.0,2026-02-28,1,17,2,10,27,62,30,49,4,32,1,0
122,1.0,2026-03-31,1,13,2,9,22,57,29,59,5,26,6,3
123,1.0,2026-04-30,4,15,3,9,27,70,16,57,7,31,1,2
124,1.0,2026-05-31,4,15,4,8,25,81,25,84,6,43,3,2
125,1.0,2026-06-30,4,18,0,6,24,72,15,56,8,28,0,1
126,2.0,2016-01-31,1,10,2,8,11,44,25,55,1,24,1,1
127,2.0,2016-02-29,1,6,1,7,17,27,29,48,2,16,0,1
128,2.0,2016-03-31,7,11,4,3,20,45,41,69,6,26,3,2
129,2.0,2016-04-30,2,10,4,7,13,47,33,40,3,18,6,1
130,2.0,2016-05-31,2,21,0,7,19,66,27,56,5,35,1,1
131,2.0,2016-06-30,1,10,1,5,14,38,59,61,2,22,4,1
132,2.0,2016-07-31,1,6,0,4,20,42,45,66,8,21,2,4
133,2.0,2016-08-31,3,8,1,5,26,53,46,66,3,28,4,3
134,2.0,2016-09-30,2,8,2,0,24,53,36,52,6,18,0,1
135,2.0,2016-10-31,2,5,1,2,14,57,45,73,1,25,1,1
136,2.0,2016-11-30,0,12,0,5,14,46,48,79,4,24,1,2
137,2.0,2016-12-31,1,8,1,6,13,33,29,68,5,17,1,2
138,2.0,2017-01-31,3,7,1,3,23,38,37,59,6,21,3,2
139,2.0,2017-02-28,2,9,2,3,20,33,42,47,9,17,3,1
140,2.0,2017-03-31,2,7,2,4,19,43,43,65,3,26,3,2
141,2.0,2017-04-30,5,9,4,3,19,44,32,71,3,25,0,4
142,2.0,2017-05-31,3,8,3,6,19,55,38,71,4,24,1,2
143,2.0,2017-06-30,3,13,2,5,16,51,56,82,5,24,2,2
144,2.0,2017-07-31,7,5,5,2,23,61,53,81,3,31,2,6
145,2.0,2017-08-31,5,10,2,0,22,45,40,101,10,27,1,1
146,2.0,2017-09-30,2,14,0,3,23,63,30,82,5,25,2,0
147,2.0,2017-10-31,4,16,2,0,26,56,28,76,5,24,3,1
148,2.0,2017-11-30,2,6,0,11,19,48,39,88,5,29,0,0
149,2.0,2017-12-31,4,11,4,4,13,52,47,94,2,32,3,1
150,2.0,2018-01-31,3,12,1,3,13,45,19,77,1,21,0,3
151,2.0,2018-02-28,3,13,4,2,15,39,38,56,5,22,3,1
152,2.0,2018-03-31,4,9,3,1,33,45,36,70,7,22,1,3
153,2.0,2018-04-30,2,4,1,1,14,37,23,51,3,18,1,2
154,2.0,2018-05-31,3,13,2,2,22,61,43,66,4,30,3,1
155,2.0,2018-06-30,2,17,2,4,25,71,38,61,6,34,4,2
156,2.0,2018-07-31,4,12,0,10,31,66,46,91,7,33,2,2
157,2.0,2018-08-31,1,13,3,8,23,59,44,88,9,30,2,1
158,2.0,2018-09-30,1,13,1,4,25,45,38,54,7,22,1,1
159,2.0,2018-10-31,4,14,2,3,26,53,55,58,4,26,0,1
160,2.0,2018-11-30,3,14,2,1,20,39,32,68,6,24,1,0
161,2.0,2018-12-31,0,10,1,4,17,60,31,72,4,32,0,1
162,2.0,2019-01-31,3,8,1,1,13,41,25,55,2,24,1,0
163,2.0,2019-02-28,3,8,0,0,18,40,24,47,6,17,3,0
164,2.0,2019-03-31,3,12,2,1,12,50,28,58,1,33,1,4
165,2.0,2019-04-30,2,14,2,3,13,49,31,73,2,27,5,1
166,2.0,2019-05-31,3,13,5,8,21,61,43,105,5,30,2,3
167,2.0,2019-06-30,4,10,1,2,29,49,39,106,8,29,0,3
168,2.0,2019-07-31,1,9,4,5,17,73,51,88,5,43,1,1
169,2.0,2019-08-31,3,12,1,5,23,49,43,93,7,28,2,3
170,2.0,2019-09-30,3,7,0,7,22,49,27,81,6,25,3,2
171,2.0,2019-10-31,5,5,0,2,22,43,35,69,5,23,4,0
172,2.0,2019-11-30,2,3,1,6,16,41,20,78,5,27,1,0
173,2.0,2019-12-31,2,7,3,11,19,44,38,72,2,15,1,1
174,2.0,2020-01-31,4,8,3,4,22,45,35,61,5,31,1,1
175,2.0,2020-02-29,3,10,2,2,19,39,20,55,6,26,3,2
176,2.0,2020-03-31,3,9,1,2,29,51,20,70,6,32,1,0
177,2.0,2020-04-30,0,5,0,1,10,28,24,48,4,19,2,0
178,2.0,2020-05-31,0,1,0,0,18,32,32,56,3,17,5,2
179,2.0,2020-06-30,0,9,0,0,14,43,36,59,1,23,4,3
180,2.0,2020-07-31,4,8,0,5,25,66,33,73,7,36,4,2
181,2.0,2020-08-31,2,10,2,2,26,67,43,86,8,48,2,3
182,2.0,2020-09-30,1,9,1,0,20,55,61,78,5,27,2,2
183,2.0,2020-10-31,1,12,2,4,17,57,33,70,4,37,1,0
184,2.0,2020-11-30,2,5,1,1,15,45,27,59,3,27,3,2
185,2.0,2020-12-31,3,8,0,1,15,39,26,54,4,31,4,0
186,2.0,2021-01-31,1,9,0,0,13,34,21,66,0,19,5,1
187,2.0,2021-02-28,1,5,0,0,15,31,36,34,1,17,3,2
188,2.0,2021-03-31,2,4,0,1,15,36,31,47,6,24,2,2
189,2.0,2021-04-30,2,2,1,2,18,44,34,62,6,24,8,3
190,2.0,2021-05-31,1,9,0,1,18,45,25,45,7,30,4,2
191,2.0,2021-06-30,2,12,1,3,17,50,32,67,6,27,3,3
192,2.0,2021-07-31,6,8,0,7,18,42,25,64,6,24,3,4
193,2.0,2021-08-31,0,6,1,1,24,43,45,76,10,19,3,2
194,2.0,2021-09-30,1,5,2,2,24,62,46,72,9,36,2,1
195,2.0,2021-10-31,2,4,2,1,16,53,33,62,3,27,3,1
196,2.0,2021-11-30,2,9,0,1,15,49,31,62,4,24,4,2
197,2.0,2021-12-31,3,10,0,1,19,44,53,78,4,26,1,2
198,2.0,2022-01-31,1,12,7,1,12,51,59,75,3,32,1,0
199,2.0,2022-02-28,0,3,1,2,16,32,29,40,6,19,2,2
200,2.0,2022-03-31,1,14,0,2,24,59,33,56,6,34,3,1
201,2.0,2022-04-30,1,6,0,1,21,42,45,75,3,22,5,4
202,2.0,2022-05-31,3,14,4,1,28,53,45,98,7,32,3,1
203,2.0,2022-06-30,5,7,2,1,22,52,40,85,6,17,5,2
204,2.0,2022-07-31,4,11,1,2,33,49,33,92,7,31,2,0
205,2.0,2022-08-31,3,12,1,3,26,64,36,99,4,32,3,0
206,2.0,2022-09-30,1,5,1,3,24,49,44,118,5,26,4,4
207,2.0,2022-10-31,3,7,2,1,31,45,43,95,7,27,6,3
208,2.0,2022-11-30,1,11,3,0,32,50,44,68,8,27,3,1
209,2.0,2022-12-31,2,7,3,2,21,42,43,68,5,21,1,3
210,2.0,2023-01-31,2,12,4,4,23,47,30,72,5,39,2,0
211,2.0,2023-02-28,3,11,0,0,27,43,37,58,7,28,2,1
212,2.0,2023-03-31,3,9,0,0,28,43,24,70,10,24,3,4
213,2.0,2023-04-30,4,6,2,2,26,42,26,61,8,25,1,3
214,2.0,2023-05-31,0,11,1,3,22,68,21,85,5,29,1,6
215,2.0,2023-06-30,2,7,1,3,16,48,37,97,4,21,1,4
216,2.0,2023-07-31,4,11,3,2,38,58,42,86,12,22,4,6
217,2.0,2023-08-31,6,17,2,5,34,70,41,82,9,37,2,5
218,2.0,2023-09-30,2,6,3,3,30,68,60,82,7,25,3,4
219,2.0,2023-10-31,3,15,2,2,28,51,49,64,6,31,4,1
220,2.0,2023-11-30,5,3,1,2,27,40,33,80,11,24,4,0
221,2.0,2023-12-31,3,15,1,2,28,65,49,63,9,40,1,4
222,2.0,2024-01-31,3,7,1,8,29,45,30,54,8,20,1,0
223,2.0,2024-02-29,3,4,0,3,21,37,42,73,5,21,3,0
224,2.0,2024-03-31,2,9,1,1,22,61,55,64,5,36,0,3
225,2.0,2024-04-30,3,9,1,3,26,34,62,67,5,16,2,0
226,2.0,2024-05-31,1,6,0,3,23,46,45,67,5,27,4,1
227,2.0,2024-06-30,3,12,1,2,17,56,33,77,3,28,1,0
228,2.0,2024-07-31,3,12,0,6,31,47,40,94,6,25,1,2
229,2.0,2024-08-31,2,4,1,2,21,60,36,91,5,29,2,4
230,2.0,2024-09-30,1,13,2,9,27,90,35,70,4,43,0,2
231,2.0,2024-10-31,3,8,3,7,34,61,35,71,5,36,3,1
232,2.0,2024-11-30,2,10,3,4,29,45,33,79,14,23,3,3
233,2.0,2024-12-31,5,14,0,6,23,67,26,59,7,36,0,2
234,2.0,2025-01-31,3,12,3,7,28,49,22,79,7,27,2,3
235,2.0,2025-02-28,6,9,0,6,14,40,20,53,5,25,1,2
236,2.0,2025-03-31,1,11,1,4,18,54,17,56,4,28,1,2
237,2.0,2025-04-30,2,6,2,4,14,57,33,55,4,34,2,4
238,2.0,2025-05-31,2,7,1,4,26,49,28,51,9,25,1,0
239,2.0,2025-06-30,2,10,0,8,18,48,27,76,4,25,0,2
240,2.0,2025-07-31,4,12,2,5,24,59,43,77,4,25,3,1
241,2.0,2025-08-31,1,11,0,7,23,49,32,79,4,27,2,3
242,2.0,2025-09-30,3,16,2,8,29,64,50,69,5,33,2,2
243,2.0,2025-10-31,3,11,0,4,24,46,33,70,6,27,4,2
244,2.0,2025-11-30,2,13,1,2,16,51,27,61,4,26,0,4
245,2.0,2025-12-31,4,12,1,2,20,43,28,50,3,21,2,2
246,2.0,2026-01-31,1,13,2,1,18,40,20,36,3,21,2,2
247,2.0,2026-02-28,3,6,0,6,33,31,29,50,11,18,0,2
248,2.0,2026-03-31,4,17,2,5,24,63,33,59,5,32,4,3
249,2.0,2026-04-30,4,10,1,6,31,51,32,54,6,26,4,2
250,2.0,2026-05-31,3,5,2,6,34,44,42,52,8,12,7,4
251,2.0,2026-06-30,3,5,2,9,28,38,37,42,6,17,3,2
252,3.0,2016-01-31,2,11,0,17,12,50,19,98,2,20,0,1
253,3.0,2016-02-29,5,13,1,8,9,45,30,59,2,17,2,2
254,3.0,2016-03-31,5,7,1,10,22,49,25,89,2,16,1,1
255,3.0,2016-04-30,4,13,1,12,18,57,20,82,1,16,0,3
256,3.0,2016-05-31,9,16,0,15,28,57,20,91,6,24,0,2
257,3.0,2016-06-30,9,21,1,8,32,75,30,88,4,26,2,0
258,3.0,2016-07-31,9,21,3,9,23,60,26,94,5,25,0,0
259,3.0,2016-08-31,4,11,1,13,20,53,31,95,1,19,3,1
260,3.0,2016-09-30,6,10,2,7,26,69,31,86,4,24,2,2
261,3.0,2016-10-31,7,15,4,8,28,65,26,100,2,20,2,1
262,3.0,2016-11-30,6,10,3,8,19,59,26,65,2,22,1,2
263,3.0,2016-12-31,2,13,1,9,15,38,22,67,1,15,3,3
264,3.0,2017-01-31,3,8,3,11,23,41,19,78,3,14,0,3
265,3.0,2017-02-28,2,13,0,7,14,58,25,66,2,27,2,1
266,3.0,2017-03-31,12,11,0,8,28,41,16,55,6,11,2,1
267,3.0,2017-04-30,6,12,3,5,33,61,32,68,2,21,0,5
268,3.0,2017-05-31,6,17,1,10,22,55,31,87,1,18,1,3
269,3.0,2017-06-30,7,9,3,11,26,59,28,87,4,20,2,0
270,3.0,2017-07-31,8,13,3,6,19,74,27,101,5,16,0,1
271,3.0,2017-08-31,2,11,2,7,13,52,38,112,3,20,3,3
272,3.0,2017-09-30,5,11,2,9,26,60,26,91,4,23,1,2
273,3.0,2017-10-31,6,22,1,6,29,64,34,81,3,27,2,4
274,3.0,2017-11-30,3,13,0,8,18,44,22,64,4,20,1,2
275,3.0,2017-12-31,3,9,1,12,24,54,20,79,3,22,2,3
276,3.0,2018-01-31,5,13,5,14,24,67,24,64,1,26,3,3
277,3.0,2018-02-28,4,8,0,10,20,46,16,57,4,18,0,0
278,3.0,2018-03-31,2,12,3,14,16,57,18,61,4,30,0,1
279,3.0,2018-04-30,5,14,2,7,21,51,22,62,2,15,6,2
280,3.0,2018-05-31,3,16,3,8,16,66,19,79,2,27,2,2
281,3.0,2018-06-30,3,14,2,5,29,74,25,80,5,26,1,2
282,3.0,2018-07-31,5,10,2,7,26,66,28,120,5,23,0,2
283,3.0,2018-08-31,6,16,5,8,16,66,28,113,6,29,2,0
284,3.0,2018-09-30,7,16,1,12,24,61,26,101,2,20,2,2
285,3.0,2018-10-31,2,9,0,8,20,57,34,88,3,18,2,1
286,3.0,2018-11-30,4,14,5,16,23,52,25,84,3,26,0,0
287,3.0,2018-12-31,9,11,1,8,23,51,37,84,5,22,1,1
288,3.0,2019-01-31,2,9,0,11,22,51,21,73,4,24,2,2
289,3.0,2019-02-28,4,13,1,14,18,43,21,79,4,16,1,2
290,3.0,2019-03-31,5,15,2,12,27,50,24,64,3,27,0,0
291,3.0,2019-04-30,5,8,2,9,18,45,20,73,0,20,0,3
292,3.0,2019-05-31,4,15,1,9,25,49,25,80,6,23,1,1
293,3.0,2019-06-30,6,20,2,9,28,68,37,89,4,25,3,2
294,3.0,2019-07-31,9,19,3,11,33,82,26,108,6,24,2,4
295,3.0,2019-08-31,8,19,4,11,20,62,25,79,3,23,2,0
296,3.0,2019-09-30,6,15,3,9,24,62,32,70,3,17,0,0
297,3.0,2019-10-31,3,9,2,9,22,40,17,71,2,10,1,1
298,3.0,2019-11-30,5,19,0,11,17,62,13,76,3,23,0,2
299,3.0,2019-12-31,5,11,1,22,20,57,31,79,1,23,2,0
300,3.0,2020-01-31,6,12,1,21,17,43,11,72,3,15,1,3
301,3.0,2020-02-29,4,8,3,14,20,45,25,76,3,21,3,4
302,3.0,2020-03-31,8,11,2,6,23,43,15,52,3,23,1,1
303,3.0,2020-04-30,1,3,2,1,10,35,19,61,3,15,0,2
304,3.0,2020-05-31,2,9,1,0,20,40,25,49,3,13,5,2
305,3.0,2020-06-30,6,8,2,6,24,43,28,76,3,18,2,2
306,3.0,2020-07-31,4,7,0,5,26,51,23,83,5,16,2,4
307,3.0,2020-08-31,5,9,1,2,25,61,26,78,3,26,1,0
308,3.0,2020-09-30,4,12,3,3,29,44,33,88,4,16,0,0
309,3.0,2020-10-31,2,8,0,8,23,44,28,78,0,14,1,0
310,3.0,2020-11-30,1,6,2,1,14,29,24,45,0,14,0,2
311,3.0,2020-12-31,2,7,2,1,16,50,15,56,4,19,2,2
312,3.0,2021-01-31,1,5,0,3,18,41,17,66,3,16,2,1
313,3.0,2021-02-28,4,5,0,1,19,37,10,51,3,20,1,2
314,3.0,2021-03-31,3,10,0,1,28,48,20,62,4,26,1,1
315,3.0,2021-04-30,6,7,2,1,34,50,23,46,4,27,0,3
316,3.0,2021-05-31,1,11,3,1,25,48,23,68,4,20,6,1
317,3.0,2021-06-30,2,5,3,2,30,47,25,63,3,18,1,2
318,3.0,2021-07-31,7,12,0,3,30,64,28,67,3,31,2,0
319,3.0,2021-08-31,2,8,1,1,28,66,35,84,4,25,4,6
320,3.0,2021-09-30,6,12,0,1,36,70,30,74,4,24,6,5
321,3.0,2021-10-31,2,8,1,1,24,63,35,92,2,27,1,1
322,3.0,2021-11-30,7,10,0,4,33,65,31,73,2,24,4,2
323,3.0,2021-12-31,3,8,1,5,17,55,24,81,4,18,5,2
324,3.0,2022-01-31,0,9,0,3,22,44,35,61,2,21,1,3
325,3.0,2022-02-28,2,2,1,4,22,31,35,69,4,14,0,1
326,3.0,2022-03-31,2,9,0,6,25,56,13,98,3,22,1,4
327,3.0,2022-04-30,6,8,0,5,15,55,24,76,3,18,2,2
328,3.0,2022-05-31,2,10,0,4,23,63,13,84,2,24,1,2
329,3.0,2022-06-30,5,13,0,8,25,80,45,126,3,31,2,2
330,3.0,2022-07-31,2,4,1,4,28,53,27,130,4,21,1,4
331,3.0,2022-08-31,2,10,1,4,23,59,34,156,1,27,2,4
332,3.0,2022-09-30,3,11,0,5,35,64,31,154,6,15,1,2
333,3.0,2022-10-31,5,12,2,5,35,61,49,118,6,25,7,1
334,3.0,2022-11-30,3,7,0,4,25,30,30,113,2,11,1,6
335,3.0,2022-12-31,4,4,2,4,22,43,37,72,4,14,4,3
336,3.0,2023-01-31,4,9,0,7,37,48,49,76,5,22,2,2
337,3.0,2023-02-28,2,12,3,2,24,66,21,75,5,27,3,3
338,3.0,2023-03-31,5,14,2,3,33,62,38,82,3,25,7,0
339,3.0,2023-04-30,7,8,1,10,34,49,43,109,5,15,2,2
340,3.0,2023-05-31,6,10,0,15,36,70,42,132,4,27,1,2
341,3.0,2023-06-30,9,13,5,8,43,65,42,123,10,20,2,3
342,3.0,2023-07-31,6,7,4,13,40,64,68,127,4,21,2,4
343,3.0,2023-08-31,5,13,1,13,42,58,33,148,6,22,0,1
344,3.0,2023-09-30,12,21,0,12,50,88,38,141,6,25,0,1
345,3.0,2023-10-31,9,8,0,17,42,65,30,150,3,23,2,6
346,3.0,2023-11-30,3,12,6,11,38,54,33,99,3,20,3,0
347,3.0,2023-12-31,3,13,2,12,24,69,26,91,5,27,2,0
348,3.0,2024-01-31,5,14,0,9,29,56,23,92,5,23,2,0
349,3.0,2024-02-29,2,16,2,13,25,65,31,86,2,24,2,2
350,3.0,2024-03-31,2,10,2,10,31,59,45,106,2,24,0,1
351,3.0,2024-04-30,7,13,2,6,26,57,43,106,2,23,3,1
352,3.0,2024-05-31,6,14,1,15,39,77,39,128,7,24,2,0
353,3.0,2024-06-30,3,15,2,20,30,76,32,126,2,23,1,2
354,3.0,2024-07-31,5,22,2,15,30,88,36,147,2,29,2,2
355,3.0,2024-08-31,5,11,1,20,45,67,24,154,4,20,1,2
356,3.0,2024-09-30,1,17,4,19,28,93,41,151,3,29,3,2
357,3.0,2024-10-31,8,15,2,20,35,75,30,123,2,26,1,3
358,3.0,2024-11-30,6,9,2,23,30,56,34,102,4,24,1,0
359,3.0,2024-12-31,2,13,0,29,29,63,26,116,5,28,1,1
360,3.0,2025-01-31,2,5,0,22,28,52,18,88,5,20,2,0
361,3.0,2025-02-28,4,13,0,25,32,67,19,88,5,22,0,5
362,3.0,2025-03-31,3,15,1,23,35,71,19,94,3,23,1,4
363,3.0,2025-04-30,3,10,1,16,35,65,33,109,8,32,0,2
364,3.0,2025-05-31,4,9,2,12,24,51,35,117,1,13,2,0
365,3.0,2025-06-30,2,15,1,14,29,83,36,148,4,17,0,2
366,3.0,2025-07-31,5,14,1,13,36,77,32,133,4,27,1,2
367,3.0,2025-08-31,1,13,0,16,43,78,37,112,5,31,4,3
368,3.0,2025-09-30,3,14,2,14,39,60,43,105,4,21,2,1
