,zipcode,metro,date,homes_sold,median_sale_price,median_days_on_market,new_listings,active_listings,pending_sales,inventory,average_sale_to_list_ratio,median_new_listing_price,latitude,longitude
42,98001,"Seattle, WA metro area",2019-09-30,148.0,413225.0,15.0,149.0,223.0,161.0,71.0,100.26,429950.0,47.3099,-122.2653
43,98001,"Seattle, WA metro area",2019-10-31,146.0,416000.0,16.0,140.0,207.0,149.0,56.0,99.46,429975.0,47.3099,-122.2653
44,98001,"Seattle, WA metro area",2019-11-30,134.0,445100.0,14.0,98.0,186.0,141.0,44.0,99.33,440000.0,47.3099,-122.2653
45,98001,"Seattle, WA metro area",2019-12-31,135.0,429950.0,16.0,72.0,141.0,102.0,39.0,99.81,459950.0,47.3099,-122.2653
46,98001,"Seattle, WA metro area",2020-01-31,101.0,446250.0,32.0,79.0,135.0,90.0,40.0,100.16,474990.0,47.3099,-122.2653
47,98001,"Seattle, WA metro area",2020-02-29,92.0,424250.0,32.0,111.0,153.0,106.0,54.0,101.25,475000.0,47.3099,-122.2653
48,98001,"Seattle, WA metro area",2020-03-31,90.0,464300.0,9.0,144.0,181.0,133.0,63.0,102.16,475000.0,47.3099,-122.2653
49,98001,"Seattle, WA metro area",2020-04-30,106.0,464300.0,6.0,139.0,177.0,122.0,64.0,102.43,470490.0,47.3099,-122.2653
50,98001,"Seattle, WA metro area",2020-05-31,104.0,453000.0,5.0,137.0,190.0,123.0,68.0,102.02,482500.0,47.3099,-122.2653
51,98001,"Seattle, WA metro area",2020-06-30,109.0,449000.0,6.0,143.0,206.0,145.0,63.0,101.69,456500.0,47.3099,-122.2653
52,98001,"Seattle, WA metro area",2020-07-31,125.0,448000.0,9.0,176.0,239.0,176.0,73.0,101.43,469450.0,47.3099,-122.2653
53,98001,"Seattle, WA metro area",2020-08-31,147.0,465000.0,8.0,184.0,251.0,191.0,72.0,101.41,469000.0,47.3099,-122.2653
54,98001,"Seattle, WA metro area",2020-09-30,162.0,472000.0,7.0,191.0,252.0,194.0,65.0,101.73,479500.0,47.3099,-122.2653
55,98001,"Seattle, WA metro area",2020-10-31,180.0,490500.0,7.0,172.0,242.0,184.0,49.0,102.07,479900.0,47.3099,-122.2653
56,98001,"Seattle, WA metro area",2020-11-30,184.0,496507.0,8.0,140.0,209.0,160.0,38.0,102.39,479950.0,47.3099,-122.2653
57,98001,"Seattle, WA metro area",2020-12-31,188.0,507300.0,9.0,114.0,175.0,142.0,21.0,102.88,487000.0,47.3099,-122.2653
58,98001,"Seattle, WA metro area",2021-01-31,149.0,510410.0,7.0,99.0,145.0,117.0,26.0,103.01,525000.0,47.3099,-122.2653
59,98001,"Seattle, WA metro area",2021-02-28,123.0,525000.0,5.0,102.0,139.0,114.0,25.0,103.67,534475.0,47.3099,-122.2653
60,98001,"Seattle, WA metro area",2021-03-31,97.0,569326.0,5.0,116.0,137.0,124.0,16.0,104.65,559000.0,47.3099,-122.2653
61,98001,"Seattle, WA metro area",2021-04-30,123.0,585000.0,5.0,130.0,155.0,135.0,20.0,105.86,549950.0,47.3099,-122.2653
62,98001,"Seattle, WA metro area",2021-05-31,131.0,600000.0,5.0,163.0,188.0,169.0,19.0,106.81,562000.0,47.3099,-122.2653
63,98001,"Seattle, WA metro area",2021-06-30,162.0,592500.0,5.0,192.0,208.0,172.0,34.0,107.3,569999.0,47.3099,-122.2653
64,98001,"Seattle, WA metro area",2021-07-31,169.0,600000.0,5.0,200.0,220.0,178.0,42.0,106.9,575000.0,47.3099,-122.2653
65,98001,"Seattle, WA metro area",2021-08-31,189.0,600000.0,6.0,194.0,213.0,182.0,41.0,105.45,572000.0,47.3099,-122.2653
66,98001,"Seattle, WA metro area",2021-09-30,163.0,600000.0,6.0,174.0,207.0,178.0,41.0,103.62,562500.0,47.3099,-122.2653
67,98001,"Seattle, WA metro area",2021-10-31,165.0,575000.0,7.0,156.0,197.0,192.0,18.0,102.45,575000.0,47.3099,-122.2653
68,98001,"Seattle, WA metro area",2021-11-30,164.0,597500.0,7.0,136.0,177.0,165.0,12.0,101.96,575000.0,47.3099,-122.2653
69,98001,"Seattle, WA metro area",2021-12-31,167.0,600000.0,7.0,101.0,141.0,131.0,9.0,102.31,570000.0,47.3099,-122.2653
70,98001,"Seattle, WA metro area",2022-01-31,137.0,619000.0,6.0,93.0,111.0,105.0,10.0,102.85,574950.0,47.3099,-122.2653
71,98001,"Seattle, WA metro area",2022-02-28,106.0,614000.0,6.0,90.0,102.0,91.0,13.0,104.89,612500.0,47.3099,-122.2653
72,98001,"Seattle, WA metro area",2022-03-31,102.0,645000.0,5.0,139.0,148.0,122.0,31.0,107.21,662450.0,47.3099,-122.2653
73,98001,"Seattle, WA metro area",2022-04-30,109.0,686250.0,5.0,155.0,165.0,141.0,30.0,108.8,679950.0,47.3099,-122.2653
74,98001,"Seattle, WA metro area",2022-05-31,127.0,720000.0,5.0,189.0,202.0,163.0,45.0,108.09,677450.0,47.3099,-122.2653
75,98001,"Seattle, WA metro area",2022-06-30,136.0,722500.0,5.0,178.0,209.0,130.0,77.0,105.76,674900.0,47.3099,-122.2653
76,98001,"Seattle, WA metro area",2022-07-31,121.0,689000.0,6.0,182.0,212.0,123.0,87.0,103.27,619995.0,47.3099,-122.2653
77,98001,"Seattle, WA metro area",2022-08-31,115.0,601000.0,9.0,160.0,205.0,114.0,79.0,101.18,599900.0,47.3099,-122.2653
78,98001,"Seattle, WA metro area",2022-09-30,100.0,591000.0,18.0,146.0,222.0,117.0,94.0,100.13,599950.0,47.3099,-122.2653
79,98001,"Seattle, WA metro area",2022-10-31,100.0,591000.0,25.0,124.0,210.0,113.0,90.0,99.92,599950.0,47.3099,-122.2653
80,98001,"Seattle, WA metro area",2022-11-30,89.0,600000.0,25.0,96.0,175.0,94.0,74.0,99.25,619685.0,47.3099,-122.2653
81,98001,"Seattle, WA metro area",2022-12-31,90.0,580000.0,34.0,71.0,165.0,99.0,53.0,98.7,599950.0,47.3099,-122.2653
82,98001,"Seattle, WA metro area",2023-01-31,89.0,585000.0,36.0,54.0,144.0,99.0,32.0,98.58,599950.0,47.3099,-122.2653
83,98001,"Seattle, WA metro area",2023-02-28,89.0,599950.0,43.0,60.0,131.0,94.0,29.0,98.15,599975.0,47.3099,-122.2653
84,98001,"Seattle, WA metro area",2023-03-31,92.0,615000.0,30.0,76.0,125.0,94.0,27.0,99.08,625000.0,47.3099,-122.2653
85,98001,"Seattle, WA metro area",2023-04-30,91.0,646000.0,18.0,96.0,124.0,91.0,30.0,99.53,657500.0,47.3099,-122.2653
86,98001,"Seattle, WA metro area",2023-05-31,91.0,625900.0,10.0,108.0,134.0,102.0,32.0,100.27,649975.0,47.3099,-122.2653
87,98001,"Seattle, WA metro area",2023-06-30,85.0,625000.0,7.0,114.0,139.0,103.0,36.0,101.02,644975.0,47.3099,-122.2653
88,98001,"Seattle, WA metro area",2023-07-31,90.0,625450.0,7.0,118.0,147.0,101.0,45.0,101.27,629000.0,47.3099,-122.2653
89,98001,"Seattle, WA metro area",2023-08-31,98.0,620000.0,7.0,114.0,144.0,101.0,46.0,101.37,648500.0,47.3099,-122.2653
90,98001,"Seattle, WA metro area",2023-09-30,96.0,611850.0,8.0,105.0,140.0,95.0,48.0,100.18,610000.0,47.3099,-122.2653
91,98001,"Seattle, WA metro area",2023-10-31,90.0,595000.0,10.0,87.0,129.0,85.0,42.0,100.18,599950.0,47.3099,-122.2653
92,98001,"Seattle, WA metro area",2023-11-30,76.0,605000.0,9.0,76.0,119.0,82.0,32.0,99.65,599950.0,47.3099,-122.2653
93,98001,"Seattle, WA metro area",2023-12-31,73.0,625000.0,15.0,50.0,97.0,70.0,22.0,100.17,599000.0,47.3099,-122.2653
94,98001,"Seattle, WA metro area",2024-01-31,66.0,640000.0,23.0,48.0,89.0,64.0,20.0,99.71,604000.0,47.3099,-122.2653
95,98001,"Seattle, WA metro area",2024-02-29,62.0,625000.0,29.0,65.0,94.0,68.0,30.0,99.0,615000.0,47.3099,-122.2653
96,98001,"Seattle, WA metro area",2024-03-31,63.0,600000.0,9.0,86.0,107.0,81.0,32.0,100.68,625000.0,47.3099,-122.2653
97,98001,"Seattle, WA metro area",2024-04-30,79.0,610000.0,7.0,112.0,131.0,92.0,45.0,101.5,650000.0,47.3099,-122.2653
98,98001,"Seattle, WA metro area",2024-05-31,92.0,618000.0,7.0,127.0,157.0,107.0,59.0,101.91,682500.0,47.3099,-122.2653
99,98001,"Seattle, WA metro area",2024-06-30,93.0,680000.0,13.0,131.0,160.0,112.0,58.0,101.24,684999.0,47.3099,-122.2653
100,98001,"Seattle, WA metro area",2024-07-31,91.0,693990.0,13.0,131.0,176.0,118.0,65.0,100.5,663000.0,47.3099,-122.2653
101,98001,"Seattle, WA metro area",2024-08-31,97.0,700000.0,13.0,114.0,173.0,103.0,68.0,100.03,650000.0,47.3099,-122.2653
102,98001,"Seattle, WA metro area",2024-09-30,95.0,640000.0,17.0,112.0,170.0,108.0,62.0,99.66,629975.0,47.3099,-122.2653
103,98001,"Seattle, WA metro area",2024-10-31,110.0,637475.0,24.0,92.0,156.0,98.0,51.0,99.74,656500.0,47.3099,-122.2653
104,98001,"Seattle, WA metro area",2024-11-30,102.0,661500.0,32.0,70.0,137.0,89.0,40.0,99.81,660000.0,47.3099,-122.2653
105,98001,"Seattle, WA metro area",2024-12-31,103.0,679000.0,38.0,60.0,121.0,82.0,30.0,99.25,650000.0,47.3099,-122.2653
106,98001,"Seattle, WA metro area",2025-01-31,76.0,682000.0,43.0,61.0,111.0,73.0,33.0,99.12,649000.0,47.3099,-122.2653
107,98001,"Seattle, WA metro area",2025-02-28,63.0,630000.0,23.0,67.0,105.0,74.0,31.0,99.21,630000.0,47.3099,-122.2653
108,98001,"Seattle, WA metro area",2025-03-31,67.0,620000.0,7.0,79.0,107.0,82.0,29.0,100.28,644900.0,47.3099,-122.2653
109,98001,"Seattle, WA metro area",2025-04-30,80.0,653000.0,5.0,107.0,139.0,98.0,48.0,100.59,650000.0,47.3099,-122.2653
110,98001,"Seattle, WA metro area",2025-05-31,92.0,662475.0,6.0,127.0,157.0,117.0,52.0,100.8,659950.0,47.3099,-122.2653
111,98001,"Seattle, WA metro area",2025-06-30,98.0,667000.0,7.0,138.0,166.0,117.0,51.0,100.31,675000.0,47.3099,-122.2653
112,98001,"Seattle, WA metro area",2025-07-31,95.0,655000.0,10.0,129.0,177.0,105.0,68.0,99.33,675000.0,47.3099,-122.2653
113,98001,"Seattle, WA metro area",2025-08-31,92.0,632500.0,12.0,122.0,173.0,91.0,67.0,98.76,675000.0,47.3099,-122.2653
114,98001,"Seattle, WA metro area",2025-09-30,75.0,640000.0,13.0,105.0,154.0,86.0,60.0,98.71,650000.0,47.3099,-122.2653
115,98001,"Seattle, WA metro area",2025-10-31,84.0,632250.0,20.0,82.0,149.0,97.0,37.0,99.55,648975.0,47.3099,-122.2653
116,98001,"Seattle, WA metro area",2025-11-30,84.0,637500.0,30.0,62.0,129.0,84.0,31.0,99.38,655000.0,47.3099,-122.2653
117,98001,"Seattle, WA metro area",2025-12-31,83.0,675000.0,43.0,46.0,105.0,74.0,23.0,99.08,655000.0,47.3099,-122.2653
118,98001,"Seattle, WA metro area",2026-01-31,64.0,655000.0,49.0,48.0,84.0,58.0,23.0,98.56,662500.0,47.3099,-122.2653
119,98001,"Seattle, WA metro area",2026-02-28,60.0,649975.0,36.0,61.0,91.0,63.0,31.0,98.77,637225.0,47.3099,-122.2653
120,98001,"Seattle, WA metro area",2026-03-31,57.0,625000.0,18.0,85.0,107.0,75.0,39.0,99.27,674950.0,47.3099,-122.2653
121,98001,"Seattle, WA metro area",2026-04-30,62.0,655000.0,14.0,103.0,125.0,83.0,48.0,99.48,699850.0,47.3099,-122.2653
122,98001,"Seattle, WA metro area",2026-05-31,67.0,699999.0,15.0,124.0,155.0,87.0,71.0,99.46,698000.0,47.3099,-122.2653
123,98001,"Seattle, WA metro area",2026-06-30,80.0,700000.0,12.0,127.0,166.0,96.0,70.0,99.63,710000.0,47.3099,-122.2653
124,98001,"Seattle, WA metro area",2026-07-31,87.0,699878.0,16.0,125.0,173.0,85.0,75.0,99.3,668365.0,47.3099,-122.2653
125,98002,"Seattle, WA metro area",2016-03-31,64.0,265000.0,24.0,93.0,118.0,103.0,33.0,99.59,275500.0,47.305,-122.2067
126,98002,"Seattle, WA metro area",2016-04-30,87.0,274000.0,14.0,117.0,144.0,119.0,42.0,100.81,279990.0,47.305,-122.2067
127,98002,"Seattle, WA metro area",2016-05-31,92.0,278750.0,8.0,122.0,160.0,148.0,34.0,101.2,287950.0,47.305,-122.2067
128,98002,"Seattle, WA metro area",2016-06-30,113.0,277500.0,9.0,128.0,158.0,137.0,35.0,101.37,287000.0,47.305,-122.2067
129,98002,"Seattle, WA metro area",2016-07-31,112.0,285000.0,9.0,128.0,168.0,141.0,48.0,101.13,284950.0,47.305,-122.2067
130,98002,"Seattle, WA metro area",2016-08-31,118.0,285000.0,9.0,121.0,155.0,144.0,47.0,101.44,279450.0,47.305,-122.2067
131,98002,"Seattle, WA metro area",2016-09-30,102.0,281500.0,9.0,116.0,151.0,137.0,44.0,101.43,269875.0,47.305,-122.2067
132,98002,"Seattle, WA metro area",2016-10-31,97.0,275000.0,11.0,92.0,139.0,112.0,48.0,101.48,268700.0,47.305,-122.2067
133,98002,"Seattle, WA metro area",2016-11-30,89.0,275000.0,13.0,77.0,123.0,97.0,37.0,100.77,264000.0,47.305,-122.2067
134,98002,"Seattle, WA metro area",2016-12-31,89.0,269000.0,17.0,59.0,100.0,74.0,26.0,100.54,277950.0,47.305,-122.2067
135,98002,"Seattle, WA metro area",2017-01-31,77.0,275000.0,23.0,57.0,102.0,78.0,19.0,99.93,290000.0,47.305,-122.2067
136,98002,"Seattle, WA metro area",2017-02-28,76.0,273875.0,23.0,58.0,93.0,77.0,14.0,99.96,297000.0,47.305,-122.2067
137,98002,"Seattle, WA metro area",2017-03-31,72.0,289250.0,23.0,72.0,98.0,75.0,19.0,100.35,299000.0,47.305,-122.2067
138,98002,"Seattle, WA metro area",2017-04-30,77.0,300000.0,8.0,97.0,114.0,88.0,28.0,101.39,299000.0,47.305,-122.2067
139,98002,"Seattle, WA metro area",2017-05-31,86.0,299750.0,6.0,105.0,118.0,105.0,23.0,102.48,299950.0,47.305,-122.2067
140,98002,"Seattle, WA metro area",2017-06-30,94.0,314800.0,6.0,108.0,127.0,114.0,20.0,103.41,297350.0,47.305,-122.2067
141,98002,"Seattle, WA metro area",2017-07-31,93.0,314600.0,7.0,95.0,122.0,95.0,34.0,103.12,299950.0,47.305,-122.2067
142,98002,"Seattle, WA metro area",2017-08-31,92.0,310300.0,7.0,105.0,127.0,87.0,42.0,102.38,299950.0,47.305,-122.2067
143,98002,"Seattle, WA metro area",2017-09-30,73.0,300000.0,7.0,101.0,121.0,88.0,39.0,101.55,309000.0,47.305,-122.2067
144,98002,"Seattle, WA metro area",2017-10-31,78.0,310000.0,11.0,108.0,142.0,104.0,43.0,100.67,299450.0,47.305,-122.2067
145,98002,"Seattle, WA metro area",2017-11-30,79.0,310000.0,15.0,87.0,128.0,96.0,33.0,100.0,294950.0,47.305,-122.2067
146,98002,"Seattle, WA metro area",2017-12-31,89.0,305000.0,18.0,65.0,104.0,80.0,20.0,100.07,297750.0,47.305,-122.2067
147,98002,"Seattle, WA metro area",2018-01-31,80.0,301000.0,20.0,40.0,83.0,66.0,11.0,100.98,317500.0,47.305,-122.2067
148,98002,"Seattle, WA metro area",2018-02-28,67.0,300000.0,32.0,42.0,74.0,57.0,17.0,101.22,325000.0,47.305,-122.2067
149,98002,"Seattle, WA metro area",2018-03-31,64.0,310000.0,19.0,64.0,83.0,65.0,20.0,102.24,314975.0,47.305,-122.2067
150,98002,"Seattle, WA metro area",2018-04-30,78.0,313250.0,8.0,98.0,108.0,92.0,21.0,102.55,317475.0,47.305,-122.2067
151,98002,"Seattle, WA metro area",2018-05-31,97.0,325000.0,5.0,123.0,139.0,120.0,21.0,103.65,319950.0,47.305,-122.2067
152,98002,"Seattle, WA metro area",2018-06-30,114.0,335000.0,5.0,138.0,155.0,123.0,36.0,103.58,324950.0,47.305,-122.2067
153,98002,"Seattle, WA metro area",2018-07-31,115.0,338000.0,5.0,131.0,150.0,113.0,42.0,103.34,325000.0,47.305,-122.2067
154,98002,"Seattle, WA metro area",2018-08-31,108.0,338000.0,8.0,126.0,147.0,101.0,48.0,102.24,325000.0,47.305,-122.2067
155,98002,"Seattle, WA metro area",2018-09-30,88.0,330000.0,11.0,108.0,144.0,100.0,45.0,100.71,329975.0,47.305,-122.2067
156,98002,"Seattle, WA metro area",2018-10-31,84.0,326725.0,13.0,90.0,132.0,85.0,47.0,100.0,319975.0,47.305,-122.2067
157,98002,"Seattle, WA metro area",2018-11-30,73.0,325000.0,19.0,68.0,116.0,67.0,44.0,100.18,324750.0,47.305,-122.2067
158,98002,"Seattle, WA metro area",2018-12-31,65.0,324000.0,27.0,43.0,88.0,57.0,27.0,100.27,325000.0,47.305,-122.2067
159,98002,"Seattle, WA metro area",2019-01-31,50.0,312750.0,54.0,36.0,82.0,53.0,21.0,99.28,322475.0,47.305,-122.2067
160,98002,"Seattle, WA metro area",2019-02-28,49.0,309000.0,55.0,37.0,80.0,55.0,23.0,98.83,330000.0,47.305,-122.2067
161,98002,"Seattle, WA metro area",2019-03-31,53.0,320000.0,19.0,60.0,86.0,69.0,22.0,99.32,330000.0,47.305,-122.2067
162,98002,"Seattle, WA metro area",2019-04-30,65.0,336000.0,11.0,65.0,85.0,72.0,18.0,100.64,337500.0,47.305,-122.2067
163,98002,"Seattle, WA metro area",2019-05-31,65.0,348500.0,6.0,92.0,113.0,94.0,26.0,101.34,337000.0,47.305,-122.2067
164,98002,"Seattle, WA metro area",2019-06-30,82.0,345000.0,6.0,92.0,114.0,95.0,23.0,101.74,339450.0,47.305,-122.2067
165,98002,"Seattle, WA metro area",2019-07-31,84.0,344500.0,7.0,94.0,112.0,94.0,20.0,101.52,345000.0,47.305,-122.2067
166,98002,"Seattle, WA metro area",2019-08-31,90.0,343000.0,7.0,83.0,109.0,89.0,22.0,101.26,355000.0,47.305,-122.2067
167,98002,"Seattle, WA metro area",2019-09-30,82.0,350000.0,8.0,81.0,103.0,83.0,24.0,100.85,359995.0,47.305,-122.2067
168,98002,"Seattle, WA metro area",2019-10-31,79.0,357000.0,8.0,79.0,99.0,81.0,17.0,101.39,350000.0,47.305,-122.2067
169,98002,"Seattle, WA metro area",2019-11-30,71.0,357000.0,10.0,61.0,83.0,68.0,12.0,101.84,354950.0,47.305,-122.2067
170,98002,"Seattle, WA metro area",2019-12-31,69.0,355000.0,10.0,46.0,70.0,58.0,6.0,102.25,339475.0,47.305,-122.2067
171,98002,"Seattle, WA metro area",2020-01-31,61.0,345000.0,12.0,45.0,62.0,53.0,9.0,101.34,339950.0,47.305,-122.2067
172,98002,"Seattle, WA metro area",2020-02-29,54.0,351750.0,6.0,48.0,60.0,55.0,7.0,101.25,372475.0,47.305,-122.2067
173,98002,"Seattle, WA metro area",2020-03-31,48.0,381000.0,5.0,58.0,64.0,52.0,19.0,101.98,385000.0,47.305,-122.2067
174,98002,"Seattle, WA metro area",2020-04-30,41.0,385000.0,5.0,66.0,75.0,60.0,20.0,103.39,399950.0,47.305,-122.2067
175,98002,"Seattle, WA metro area",2020-05-31,56.0,399500.0,5.0,69.0,76.0,61.0,20.0,102.86,399950.0,47.305,-122.2067
176,98002,"Seattle, WA metro area",2020-06-30,60.0,403000.0,9.0,85.0,104.0,88.0,17.0,101.98,389950.0,47.305,-122.2067
177,98002,"Seattle, WA metro area",2020-07-31,82.0,403500.0,6.0,85.0,105.0,90.0,20.0,101.82,377500.0,47.305,-122.2067
178,98002,"Seattle, WA metro area",2020-08-31,86.0,384250.0,5.0,99.0,118.0,95.0,29.0,102.75,394900.0,47.305,-122.2067
179,98002,"Seattle, WA metro area",2020-09-30,84.0,387950.0,5.0,90.0,106.0,91.0,18.0,103.32,392000.0,47.305,-122.2067
180,98002,"Seattle, WA metro area",2020-10-31,88.0,395000.0,5.0,94.0,113.0,94.0,20.0,103.63,420000.0,47.305,-122.2067
181,98002,"Seattle, WA metro area",2020-11-30,82.0,404000.0,5.0,77.0,106.0,94.0,8.0,102.71,419950.0,47.305,-122.2067
182,98002,"Seattle, WA metro area",2020-12-31,89.0,419950.0,5.0,69.0,87.0,77.0,8.0,102.79,429950.0,47.305,-122.2067
183,98002,"Seattle, WA metro area",2021-01-31,72.0,444190.0,5.0,70.0,90.0,73.0,12.0,102.78,434975.0,47.305,-122.2067
184,98002,"Seattle, WA metro area",2021-02-28,71.0,450000.0,5.0,78.0,86.0,78.0,9.0,104.29,425000.0,47.305,-122.2067
185,98002,"Seattle, WA metro area",2021-03-31,75.0,450000.0,5.0,84.0,92.0,86.0,7.0,106.1,424750.0,47.305,-122.2067
186,98002,"Seattle, WA metro area",2021-04-30,90.0,448500.0,5.0,79.0,91.0,84.0,10.0,107.3,424500.0,47.305,-122.2067
187,98002,"Seattle, WA metro area",2021-05-31,87.0,450000.0,5.0,90.0,99.0,91.0,9.0,107.11,430000.0,47.305,-122.2067
188,98002,"Seattle, WA metro area",2021-06-30,98.0,465000.0,5.0,90.0,97.0,89.0,9.0,107.31,448250.0,47.305,-122.2067
189,98002,"Seattle, WA metro area",2021-07-31,84.0,475000.0,5.0,97.0,107.0,92.0,17.0,107.61,445000.0,47.305,-122.2067
